X,Y,OBJECTID,AREA,PERIMETER,PHTW911_,PHTW911_ID,XLO,YLO,SNO,YEAR,LNO,FE,MN,CU,ZN,CD,CR,NI,PB,CUAR,CUAR_OVER,ZNAR,ZNAR_OVER,CDAR,CDAR_OVER,CRAR,CRAR_OVER,NIAR,NIAR_OVER,PBAR,PBAR_OVER,OVER,RESTRICTED
121.2473087182,25.0349647314,194,62500,1000,208,46526,274125,2769875,GR87IO90651,1998,IO9065,456.36,22.9,129.18,21.16,0.21,1.17,1.62,13.89,274.5752,1,142.3385,0,0.3384,0,52.2168,0,22.8731,0,45.2208,0,1,1
121.0491065023,25.0306479324,198,62500,1000,212,46295,254125,2769375,GR88IO82631,1999,IO8263,531.42,67.58,2.82,10.87,13.31,0.13,0.81,274.74,16.346,0,116.7596,0,19.4356,1,34.1708,0,18.7181,0,781.0004,1,1,1
121.0540614504,25.0306462762,199,62500,1000,213,46307,254625,2769375,GR88IO82831,1999,IO8283,339.85,116.92,2.18,11.25,7.06,0.26,1.48,35.47,15.038,0,117.7043,0,10.3244,1,36.4265,0,22.155,0,106.0915,0,1,1
121.2150642425,25.0124459234,250,62500,1000,264,46820,270875,2767375,GR88IO99361,1999,IO9936,451.85,10.09,114.75,78.75,0.17,0.27,1.01,11.52,245.0861,1,285.4957,0,0.2801,0,36.6,0,19.744,0,38.5358,0,1,1
121.2249640702,25.007916478,260,62500,1000,275,46864,271875,2766875,GR88IO99741,1999,IO9974,763.73,26.32,154.68,57.01,0.38,2.38,7.52,17.54,326.687,1,231.4545,0,0.5863,0,73.2128,0,53.1383,0,55.5164,0,1,1
121.1258763629,24.9944877652,279,62500,1000,299,41900,261875,2765375,GR91IN05791,2002,IN0579,574.75,53.15,95.98,14.56,0.12,0.26,0.61,3.3,206.7277,1,125.9322,0,0.2072,0,36.4265,0,17.6921,0,15.3496,0,1,1
121.1283290491,24.9719144885,319,62500,1000,345,42365,262125,2762875,GR91IN158A1,2002,IN158A,666.28,56.92,67.92,443.78,0.23,5.42,3.08,13.33,149.3843,0,1192.8873,1,0.3676,0,125.9628,0,30.3625,0,43.6412,0,1,1
121.185273939,24.9673426338,334,62500,1000,367,42581,267875,2762375,GR88IN18181,1999,IN1818,719.08,77.82,238.39,612.63,0.95,8.56,14.39,60.29,497.7568,1,1612.6147,1,1.4172,0,180.4481,0,88.3794,0,176.1013,0,1,1
121.6494351063,24.7109857787,429,62500,1000,1435,52288,314875,2734125,GR88KM16761,1999,KM1676,512.31,66.12,130.18,224.87,0.16,1.39,2.17,10.81,276.6188,1,648.7208,1,0.2655,0,56.0343,0,25.6944,0,36.5331,0,1,1
120.6322154126,24.4252714492,1477,62500,1000,4065,24255,211875,2702375,GR91GL26011,2002,GL2601,1291.65,47.8,21.14,237.21,0.55,4.53,41.92,14.01,53.7847,0,679.3956,1,0.8341,0,110.5196,0,229.6,1,45.5593,0,1,1
120.619962817,24.4004109479,1891,62500,1000,4554,25327,210625,2699625,GR91GL35511,2002,GL3551,887.04,52.24,21.61,256.46,0.56,3.66,49.57,15.38,54.7452,0,727.2473,1,0.8487,0,95.4233,0,268.8422,1,49.4237,0,1,1
120.6273640604,24.3981720968,1934,62500,1000,4606,25407,211375,2699375,GR91GL35801,2002,GL3580,1388.07,110.83,17.49,205.65,0.53,4.36,47.5,13.12,46.3256,0,600.9438,1,0.8049,0,107.5697,0,258.2238,1,43.0489,0,1,1
121.2597990501,25.0845994708,9117,62500,1000,260,68539,275375,2775375,GR85JO61151,1996,JO6115,245.41,17.51,95.73,90.29,0.36,5.75,10.12,15.46,206.2168,1,314.1819,0,0.5571,0,131.689,0,66.4756,0,49.6493,0,1,1
121.2721674364,25.0732917595,9164,62500,1000,313,68604,276625,2774125,GR85JO61601,1996,JO6160,1621.85,17.64,129.4,57.88,0.84,2.69,12.2,14.97,275.0248,1,233.6171,0,1.2569,0,78.5919,0,77.1453,0,48.2672,0,1,1
121.2672057908,25.0710437645,9171,62500,1000,321,68765,276125,2773875,GR85JO714A1,1996,JO714A,234.13,10.39,99.3,45.97,0.25,1.29,11.68,12.45,213.5125,1,204.0112,0,0.3967,0,54.2991,0,74.4779,0,41.159,0,1,1
121.2746358793,25.0687730309,9186,62500,1000,337,68805,276875,2773625,GR86JO71791,1997,JO7179,279.43,8.18,104.75,54,0.23,0.72,13.92,10.19,224.6501,1,223.9722,0,0.3676,0,44.4084,0,85.9684,0,34.7842,0,1,1
121.2721526442,25.0665205522,9199,62500,1000,351,68787,276625,2773375,GR86JO71681,1997,JO7168,254.96,6.85,105.11,58.26,0.14,0.55,8.1,11.23,225.3858,1,234.5617,0,0.2364,0,41.4586,0,56.1136,0,37.7178,0,1,1
121.2746309029,25.0665159609,9200,62500,1000,352,68802,276875,2773375,GR85JO71781,1996,JO7178,496.74,9.62,125.73,78.41,0.29,1.05,14.51,11,267.5248,1,284.6506,0,0.4551,0,50.1346,0,88.9949,0,37.069,0,1,1
121.2746259266,25.0642588902,9214,62500,1000,367,68799,276875,2773125,GR85JO71771,1996,JO7177,362.08,10.81,100.41,57.66,0.29,0.51,2.27,14.2,215.7809,1,233.0702,0,0.4551,0,40.7645,0,26.2074,0,46.0952,0,1,1
121.2771041284,25.0642542735,9215,62500,1000,368,68811,277125,2773125,GR85JO71871,1996,JO7187,759.78,9.09,159.9,27.94,0.36,0.72,3.93,9.83,337.3546,1,159.1923,0,0.5571,0,44.4084,0,34.7227,0,33.7688,0,1,1
121.2795823211,25.0642496288,9216,62500,1000,369,68827,277375,2773125,GR86JO71971,1997,JO7197,596.13,8.72,138.42,27.28,0.21,0.41,4.48,7.97,293.4581,1,157.5516,0,0.3384,0,39.0293,0,37.5441,0,28.5223,0,1,1
121.2696646265,25.0620109396,9226,62500,1000,380,28301,276375,2772875,GR83JO71561,1994,JO7156,320.36,28.57,19.47,335,0.33,0.59,7.31,9.86,50.3719,0,922.482,1,0.5134,0,42.1527,0,52.0611,0,33.8534,0,1,1
121.2845335208,25.061983142,9229,62500,1000,384,68850,277875,2772875,GR83JO72161,1994,JO7216,415.15,14,112.37,77.8,0.31,0.63,5.78,9.79,240.2223,1,283.1342,0,0.4842,0,42.8468,0,44.2127,0,33.656,0,1,1
121.2696597488,25.059753841,9240,62500,1000,396,28299,276375,2772625,GR83JO71551,1994,JO7155,925.18,38.72,28.93,464.26,0.67,2.02,9.97,21.05,69.7043,0,1243.7965,1,1.009,0,66.966,0,65.7061,0,65.417,0,1,1
121.2820502295,25.0597307806,9243,62500,1000,399,68834,277625,2772625,GR85JO72051,1996,JO7205,525.19,16.55,357.46,29.36,0.4,0.42,4.27,9.78,741.0883,1,162.7221,0,0.6154,0,39.2028,0,36.4668,0,33.6277,0,1,1
121.2919624901,25.0597116716,9246,62500,1000,403,68892,278625,2772625,GR85JO72451,1996,JO7245,692.1,9.99,131.52,168.48,0.47,1.69,9.88,13.02,279.3573,1,508.5466,0,0.7175,0,61.2399,0,65.2444,0,42.7668,0,1,1
